SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,Churn_Yes
0,7,94,True,False,True,True,False,True,False,True
0,10,19,False,False,True,False,True,False,False,False
0,62,65,False,False,True,False,False,True,False,False
0,11,86,True,True,True,False,True,False,True,False
0,48,79,True,True,True,False,True,False,False,False
1,64,97,False,False,True,True,True,False,False,False
1,61,104,False,False,True,False,True,True,False,True
0,69,104,True,False,True,False,False,False,False,True
1,1,70,True,False,True,False,False,False,True,True
1,4,79,False,False,True,True,True,True,False,True
1,44,104,False,False,True,True,True,True,False,False
1,51,98,True,False,True,False,False,False,False,True
0,44,60,True,False,True,False,False,False,True,False
0,33,95,True,True,True,False,True,False,False,False
1,14,46,False,False,False,True,False,False,True,False
1,16,59,False,False,True,False,False,False,False,True
0,58,25,False,True,True,False,False,False,False,False
0,32,20,True,True,True,True,True,False,True,False
0,62,24,True,True,True,False,False,False,True,False
0,13,80,True,False,True,False,True,False,False,True
0,16,68,False,True,True,True,True,False,False,False
0,5,24,False,True,True,True,False,False,True,False
1,38,95,False,False,True,False,True,True,False,False
0,56,81,True,False,True,False,True,False,False,False
0,49,41,False,False,False,True,False,False,True,False
0,1,85,True,False,True,False,True,False,False,False
0,65,111,False,True,True,True,True,False,False,False
0,7,94,True,False,True,True,True,False,False,True
0,3,108,True,False,True,True,True,False,False,False
0,72,110,True,False,True,True,True,False,True,False
0,9,20,True,False,True,False,True,False,False,False
0,15,69,False,True,True,False,False,False,False,True
0,24,93,True,False,True,False,False,False,True,False
0,37,45,False,False,False,False,False,True,False,False
0,49,94,True,False,True,True,False,False,True,False
1,56,100,False,False,True,True,True,False,False,False
0,10,20,True,False,True,False,False,False,False,False
1,2,80,False,False,True,True,False,False,True,True
0,18,95,True,False,True,False,False,False,False,False
0,24,51,True,False,False,True,False,False,True,False
0,25,75,False,False,True,False,True,False,False,False
0,36,20,True,False,True,True,False,False,True,False
1,62,111,True,False,True,False,True,True,False,False
0,59,25,True,False,True,False,False,False,True,False
0,6,19,False,True,True,False,True,False,False,False
0,37,99,True,False,True,False,True,False,False,True
1,32,91,False,True,True,False,False,False,False,False
0,27,76,False,False,True,False,True,False,False,False
0,18,100,False,False,True,False,True,False,False,True
1,54,102,False,False,True,False,False,False,False,True
0,53,20,False,False,True,False,True,False,False,False
0,65,90,False,False,True,True,True,False,True,False
0,4,20,False,False,True,False,False,False,True,False
0,1,71,False,False,True,True,False,False,False,True
0,13,50,True,True,True,True,True,False,False,False
0,50,104,True,False,True,True,True,False,True,False
0,53,74,False,False,True,False,True,False,False,False
0,43,75,True,False,True,True,True,True,False,False
0,68,106,True,True,True,False,False,False,True,False
0,16,20,False,False,True,False,False,False,False,False
0,56,116,True,True,True,False,False,False,False,False
0,72,100,False,True,True,True,True,False,False,False
0,16,20,True,False,True,False,False,False,False,False
0,1,96,False,False,True,False,True,False,True,True
0,18,78,True,False,True,False,True,False,False,False
0,2,45,True,False,True,False,True,False,True,True
1,1,45,False,False,True,False,True,False,False,True
0,3,50,True,False,True,True,True,False,True,False
1,44,89,False,False,True,False,True,False,False,False
0,4,74,True,False,True,False,True,True,False,True
0,6,91,True,False,True,False,True,False,False,True
0,40,40,True,True,False,False,False,False,True,False
0,3,20,True,False,True,False,False,False,False,False
0,55,97,True,False,True,True,True,False,False,True
0,2,76,False,False,True,False,False,False,False,True
1,11,70,True,False,True,False,False,False,True,False
0,60,21,True,True,True,False,True,True,False,False
0,40,20,False,False,True,False,True,False,False,False
0,51,34,False,True,False,False,False,False,False,False
0,32,84,False,False,True,True,False,False,False,True
0,5,43,True,False,False,False,False,False,False,True
0,20,44,False,False,True,False,False,False,False,False
0,59,100,True,True,True,False,True,False,False,False
1,31,74,False,False,True,True,True,False,False,True
1,27,88,False,False,True,True,True,False,False,True
0,55,64,True,False,True,False,True,False,False,False
0,41,20,False,True,True,True,False,False,False,False
0,68,54,False,False,False,True,False,True,False,False
1,47,85,False,False,True,False,False,False,False,True
0,37,36,True,False,False,True,False,False,True,False
0,10,19,False,False,True,True,True,False,False,False
0,1,21,False,False,True,False,False,False,False,False
1,30,101,False,True,True,True,True,False,False,False
0,4,20,False,False,True,False,False,False,False,False
0,17,90,True,False,True,False,False,True,False,True
1,68,97,False,False,True,False,True,False,False,True
1,12,99,True,False,True,True,True,False,False,True
0,67,54,True,True,True,True,True,False,False,False
0,1,49,True,True,True,True,False,True,False,False
1,72,116,True,False,True,False,False,False,False,False
0,64,110,False,False,True,True,True,True,False,False
0,9,20,False,True,True,False,False,True,False,False
0,37,79,True,False,True,False,False,False,True,False
0,7,81,False,False,True,False,True,True,False,False
0,59,80,False,False,True,True,True,False,False,False
0,56,107,False,False,True,False,False,False,False,False
0,50,84,False,True,True,False,False,False,False,True
0,56,26,True,False,True,False,True,False,False,False
0,1,45,False,False,True,True,False,False,False,True
0,13,66,True,False,True,True,False,True,False,False
0,12,51,False,False,True,True,True,False,False,False
0,18,20,True,False,True,False,False,True,False,False
0,71,108,True,False,True,True,True,False,False,True
0,55,97,True,False,True,True,True,False,False,True
0,15,20,True,False,True,False,False,False,False,False
0,42,20,False,True,True,True,False,True,False,False
0,38,54,False,True,True,True,True,False,False,False
0,5,54,False,False,True,True,True,True,False,True
0,10,85,True,False,True,False,True,False,False,True
0,21,21,False,True,True,False,False,False,False,False
1,39,96,True,False,True,False,False,False,False,True
0,16,50,False,False,True,True,False,True,False,True
0,38,20,False,False,True,True,True,False,False,False
0,51,60,True,True,True,True,True,False,False,False
1,72,105,False,False,True,False,True,False,False,False
0,56,100,False,True,True,True,True,False,False,False
0,1,20,False,True,True,False,True,False,False,True
0,65,59,False,False,True,True,True,False,False,False
1,28,51,True,True,True,True,True,True,False,False
0,7,60,False,False,True,True,True,False,True,True
0,61,81,True,False,True,False,False,True,False,False
0,64,105,True,False,True,False,False,False,False,False
1,59,83,True,False,True,False,True,False,False,False
0,1,69,False,False,True,True,True,False,False,True
0,71,119,False,False,True,False,False,False,False,False
0,2,45,True,False,True,False,False,False,False,True
0,72,55,True,True,False,False,True,False,False,False
0,47,20,True,False,True,True,True,False,False,False
0,43,20,False,False,True,False,False,True,False,False
0,42,84,False,False,True,False,False,True,False,True
0,51,69,False,False,True,True,False,True,False,False
0,50,103,True,True,True,True,False,False,False,False
0,72,92,True,False,True,True,False,False,True,False
0,12,21,True,True,True,False,False,True,False,False
0,20,19,False,False,True,True,False,False,True,False
0,6,50,False,False,True,False,False,False,False,True
1,67,105,False,False,True,True,True,False,False,False
0,7,20,False,True,True,True,True,True,False,False
0,25,35,False,True,False,True,True,False,False,False
0,43,86,False,False,True,False,False,True,False,False
0,67,118,True,False,True,True,True,False,False,True
1,51,80,True,False,True,False,False,True,False,False
0,7,95,False,False,True,False,True,False,False,True
1,50,25,False,False,True,False,False,False,True,False
1,66,116,True,True,True,False,False,False,False,False
1,12,101,True,False,True,True,True,False,False,True
0,7,70,True,True,True,True,False,False,False,True
0,18,90,False,False,True,False,False,False,True,True
0,63,19,False,True,True,False,False,True,False,False
0,3,97,False,False,True,False,False,True,False,True
0,6,79,False,False,True,False,True,False,False,True
0,9,20,False,True,True,True,True,True,False,False
0,7,69,True,False,True,True,False,False,False,False
0,8,26,True,True,False,False,False,False,True,True
0,3,20,False,False,True,True,True,True,False,True
1,4,95,True,False,True,True,False,True,False,False
1,28,103,False,False,True,True,True,False,True,True
0,1,20,True,False,True,False,True,False,False,False
0,1,20,False,True,True,True,False,True,False,True
1,21,42,False,False,False,True,False,False,False,True
0,2,20,False,False,True,False,False,False,False,False
0,49,25,False,True,True,False,False,False,False,False
0,10,26,False,True,True,False,False,False,False,False
1,42,85,False,False,True,True,False,False,True,True
0,11,89,False,False,True,True,True,False,False,False
0,4,49,True,True,True,True,True,False,False,True
1,2,24,True,False,False,False,False,True,False,True
0,11,44,False,False,True,True,False,True,False,True
0,11,65,False,False,True,True,True,False,False,False
0,1,20,True,False,True,True,True,False,True,False
0,15,59,False,False,True,False,False,False,False,True
1,60,98,True,False,True,True,True,False,False,False
0,19,95,False,False,True,True,True,False,False,True
0,2,70,False,False,True,True,True,False,False,False
0,9,75,False,False,True,False,True,False,False,True
0,11,60,True,True,True,True,False,True,False,False
0,1,20,False,False,True,True,False,False,False,False
0,49,79,False,True,True,False,False,False,False,False
0,17,19,True,False,True,False,False,False,False,False
0,7,34,True,False,False,False,False,True,False,False
0,52,103,False,False,True,False,False,False,True,False
0,17,25,False,False,True,True,True,False,True,False
1,47,71,False,True,True,False,False,False,False,True
0,58,24,False,False,True,False,False,True,False,False
1,43,90,False,False,True,True,True,False,False,False
0,21,105,False,False,True,False,False,False,False,False
0,69,20,True,False,True,False,False,False,True,False
1,70,113,False,False,True,False,True,False,False,False
0,38,105,False,False,True,False,True,False,False,True
0,13,20,False,True,True,True,True,False,False,False
0,11,74,True,True,True,True,True,False,False,True
0,5,95,True,False,True,True,True,False,True,True
1,5,28,False,False,False,True,True,False,True,True
1,14,75,True,False,True,True,True,False,False,False
0,56,94,True,False,True,False,False,False,False,True
0,48,103,False,True,True,True,True,False,False,True
1,29,84,True,False,True,True,False,False,True,False
0,71,85,True,True,True,True,False,False,True,False
0,7,30,False,True,False,False,False,True,False,False
0,45,96,True,True,True,True,True,False,False,False
0,5,25,False,False,True,True,True,False,False,False
0,23,20,True,True,True,True,True,False,False,False
1,21,95,False,False,True,True,False,False,False,False
0,29,79,False,False,True,False,False,False,False,True
1,43,108,False,False,True,False,False,True,False,True
0,2,45,True,False,True,True,True,False,False,True
1,32,81,True,False,True,True,False,False,True,False
0,58,82,True,True,True,True,True,False,False,False
0,13,20,False,True,True,False,True,False,False,False
0,20,81,False,False,True,True,False,False,True,False
0,41,94,False,True,True,False,False,False,False,False
0,5,86,False,True,True,False,False,False,False,True
1,48,117,False,False,True,False,False,False,False,True
0,60,77,True,True,True,False,True,False,False,False
0,5,96,True,False,True,True,True,True,False,True
0,52,20,False,True,True,False,True,False,False,False
0,9,35,True,False,False,False,False,False,False,True
0,64,20,True,True,True,False,True,False,False,False
0,20,20,True,False,True,False,True,False,False,False
0,71,104,True,False,True,False,False,True,False,False
0,15,94,False,False,True,False,False,False,True,False
1,28,39,False,True,False,False,False,True,False,False
0,7,40,False,False,False,False,False,False,False,True
0,49,99,False,False,True,True,True,False,True,False
0,41,74,True,False,True,True,True,False,False,False
1,27,85,True,False,True,False,True,True,False,False
0,13,56,False,True,True,False,False,True,False,False
0,1,20,True,False,True,False,True,False,False,False
0,66,66,True,True,True,False,False,False,True,False
0,2,80,True,False,True,False,False,False,False,True
0,7,75,False,False,True,False,False,False,False,True
0,12,20,True,True,True,True,True,False,True,False
0,3,56,True,True,True,True,True,False,False,False
0,59,76,False,True,True,True,True,False,False,False
0,1,75,False,False,True,True,True,True,False,True
1,20,71,True,False,True,False,True,False,False,True
0,50,21,False,True,True,True,True,False,False,False
0,7,85,True,False,True,True,True,False,False,True
0,7,55,True,False,True,True,False,False,True,False
0,31,20,True,False,True,True,False,True,False,False
0,15,19,True,False,True,True,True,False,True,False
1,11,95,False,False,True,False,False,False,False,True
0,34,26,True,False,True,True,False,False,True,False
0,69,116,False,False,True,False,False,False,False,False
0,33,20,True,True,True,True,True,True,False,False
1,64,24,True,True,True,False,False,True,False,False
0,7,96,True,False,True,False,False,False,True,False
0,1,51,True,False,True,False,False,False,False,True
0,57,55,True,False,True,False,False,False,True,False
0,17,20,True,False,True,True,True,False,False,False
1,42,95,False,False,True,False,True,False,False,False
1,29,79,True,False,True,True,False,True,False,False
1,24,70,True,False,True,False,False,False,False,False
1,34,69,True,False,True,False,False,False,True,False
0,1,81,True,False,True,True,True,False,False,True
0,38,19,False,False,True,False,False,True,False,False
0,8,29,True,False,False,True,True,False,False,False
0,71,25,False,False,True,False,False,True,False,False
1,8,81,False,False,True,True,False,False,True,True
0,72,93,False,True,True,False,False,True,False,False
1,55,90,False,False,True,False,False,False,False,False
0,11,80,True,False,True,False,True,False,False,False
0,1,69,False,False,True,False,False,True,False,True
0,1,74,True,True,True,False,False,True,False,True
1,20,91,False,False,True,False,False,False,True,True
0,13,81,False,False,True,False,False,False,False,True
0,68,119,False,False,True,False,False,False,False,False
1,1,95,True,False,True,True,True,False,True,True
0,71,114,False,True,True,False,False,False,False,False
0,39,40,False,False,False,False,True,False,False,False
0,1,72,True,True,True,False,False,False,True,True
0,72,89,True,False,True,True,True,False,False,False
0,14,51,False,False,True,True,False,False,True,False
0,71,100,False,True,True,False,True,True,False,False
0,8,50,False,False,True,False,False,False,True,True
0,1,45,False,False,True,True,False,False,True,True
0,64,111,False,False,True,False,False,False,False,False
0,1,46,False,True,True,True,False,False,True,True
0,42,99,True,False,True,False,False,False,True,False
1,3,80,False,False,True,False,True,False,False,True
1,22,74,False,False,True,False,True,False,False,True
0,32,110,False,False,True,False,False,False,False,False
0,6,49,False,True,True,False,False,False,False,False
0,12,20,True,True,True,True,True,False,False,False
0,21,104,False,False,True,True,True,False,False,True
0,72,61,True,True,False,False,False,True,False,False
0,42,64,True,True,True,False,False,False,False,False
0,25,21,True,False,True,False,False,False,True,False
1,13,74,False,False,True,False,False,False,False,True
0,60,60,False,False,True,True,True,False,True,False
0,55,73,False,False,True,False,False,False,False,False
0,7,78,False,False,True,True,True,False,False,False
0,1,52,False,False,True,False,True,False,False,True
0,27,20,True,False,True,False,True,False,False,False
0,55,59,True,True,True,True,True,False,False,False
0,11,98,False,False,True,True,True,False,False,True
0,72,110,False,False,True,False,False,True,False,False
0,33,80,False,False,True,True,True,False,False,False
0,19,97,False,False,True,True,True,False,False,False
0,2,54,True,False,True,False,False,False,True,True
0,19,88,True,False,True,True,False,False,True,False
0,1,55,False,False,True,True,True,False,True,False
0,72,92,True,True,True,True,True,False,False,False
0,40,55,False,False,False,True,True,False,False,False
0,65,109,False,True,True,False,False,True,False,False
1,59,94,False,False,True,True,False,True,False,False
1,59,79,False,False,True,False,False,False,True,False
1,55,45,True,False,False,False,True,False,False,False
0,24,55,True,False,True,False,False,False,False,False
0,45,55,True,True,True,True,True,False,False,False
0,33,34,True,True,False,False,True,False,False,False
1,32,74,False,False,True,True,True,False,False,True
0,1,44,True,True,True,False,False,False,False,True
0,9,20,False,False,True,True,True,False,False,False
